"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"11","1012.0","1015.6","1013.7","2019-03-11 08:43","1009.9","2019-03-11 16:01","16.9","18.1","2019-03-11 12:37","15.8","2019-03-11 00:15","11.3","70","63","2019-03-11 12:49","3.0","80","10.8","70","2019-03-11 12:50","T","4.8","T","2019-03-11 03:30","T","2019-03-11 03:30","0.0","0.0","4.81","16.5","1.1","3","2019-03-11 13:00","10.0"
"12","1013.1","1016.6","1014.7","2019-03-12 23:52","1010.5","2019-03-12 14:15","20.6","27.8","2019-03-12 13:51","13.7","2019-03-12 06:10","10.9","55","34","2019-03-12 13:05","2.3","80","8.5","140","2019-03-12 17:28","0.0","0.0","0.0","2019-03-12 00:00","0.0","2019-03-12 00:00","9.9","83.7","19.37","21.5","3.8","9","2019-03-12 13:00","0.9"
"13","1015.7","1019.2","1017.6","2019-03-13 21:46","1013.9","2019-03-13 02:33","20.9","25.4","2019-03-13 11:07","16.3","2019-03-13 03:03","12.7","60","46","2019-03-13 11:50","3.2","110","13.1","100","2019-03-13 12:38","0.0","0.0","0.0","2019-03-13 00:00","0.0","2019-03-13 00:00","3.6","30.4","13.32","22.0","3.8","7","2019-03-13 12:00","6.2"
"14","1016.0","1019.6","1018.7","2019-03-14 22:18","1014.1","2019-03-14 15:08","21.1","25.5","2019-03-14 11:56","17.9","2019-03-14 23:51","13.8","63","51","2019-03-14 10:05","2.1","320","10.9","320","2019-03-14 13:45","0.0","0.0","0.0","2019-03-14 00:00","0.0","2019-03-14 00:00","2.0","16.8","9.38","11.0","-2.2","4","2019-03-14 12:00","8.7"
"15","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"31","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
